2024-10-30 22:58:03.050739
Dataset	Train	Test	Dimension	Class	Seed	Acc_label	Acc_unlabel	Epoch_max
CricketX	468	156	300	12	42	31.86	0	220
CricketX	468	156	300	12	42	57.14	0	897
CricketX	468	156	300	12	42	56.14	0	778
CricketX	468	156	300	12	42	40.63	0	517
CricketX	468	156	300	12	42	38.28	0	537
CricketX	468	156	300	12	42	44.81	0	613
CricketX	468	156	300	12	42	39.84	0	419
CricketX	468	156	300	12	42	33.15	0	205
CricketX	468	156	300	12	42	27.85	0	136
CricketX	468	156	300	12	42	52.01	0	596
CricketX	468	156	300	12	42	43.64	0	730
CricketX	468	156	300	12	42	34.65	0	321
CricketX	468	156	300	12	42	41.63	0	980
CricketX	468	156	300	12	42	46.04	0	823
CricketX	468	156	300	12	42	46.6	0	567
CricketX	468	156	300	12	42	37.5	0	327
CricketX	468	156	300	12	42	47.38	0	731
CricketX	468	156	300	12	42	37.5	0	513
CricketX	468	156	300	12	42	49.33	0	818
CricketX	468	156	300	12	42	44.03	0	618
CricketX	468	156	300	12	42	37.17	0	201
CricketX	468	156	300	12	42	39.73	0	195
CricketX	468	156	300	12	42	44.87	0	542
CricketX	468	156	300	12	42	34.71	0	230
CricketX	468	156	300	12	42	30.3	0	147
CricketX	468	156	300	12	42	52.85	0	479
CricketX	468	156	300	12	42	55.41	0	746
CricketX	468	156	300	12	42	57.42	0	981
CricketX	468	156	300	12	42	58.43	0	931
CricketX	468	156	300	12	42	30.97	0	144
CricketX	468	156	300	12	42	43.47	0	252
CricketX	468	156	300	12	42	46.21	0	850
CricketX	468	156	300	12	42	42.8	0	475
CricketX	468	156	300	12	42	47.6	0	357
CricketX	468	156	300	12	42	46.88	0	174
CricketX	468	156	300	12	42	39.96	0	347
CricketX	468	156	300	12	42	29.8	0	507
CricketX	468	156	300	12	42	29.02	0	666
CricketX	468	156	300	12	42	35.83	0	234
CricketX	468	156	300	12	42	47.6	0	619
CricketX	468	156	300	12	42	56.7	0	613
CricketX	468	156	300	12	42	30.8	0	224
CricketX	468	156	300	12	42	43.25	0	716
CricketX	468	156	300	12	42	33.2	0	235
CricketX	468	156	300	12	42	43.25	0	416
CricketX	468	156	300	12	42	40.12	0	319
CricketX	468	156	300	12	42	42.8	0	525
CricketX	468	156	300	12	42	49.5	0	651
CricketX	468	156	300	12	42	29.58	0	344
CricketX	468	156	300	12	42	40.07	0	420
