2024-10-25 17:55:11.816391
Dataset	Train	Test	Dimension	Class	Seed	Acc_label	Acc_unlabel	Epoch_max
2024-10-25 18:02:51.003939
Dataset	Train	Test	Dimension	Class	Seed	Acc_label	Acc_unlabel	Epoch_max
2024-10-25 18:09:07.692222
Dataset	Train	Test	Dimension	Class	Seed	Acc_label	Acc_unlabel	Epoch_max
2024-10-25 18:16:01.763614
Dataset	Train	Test	Dimension	Class	Seed	Acc_label	Acc_unlabel	Epoch_max
2024-10-25 18:17:05.773785
Dataset	Train	Test	Dimension	Class	Seed	Acc_label	Acc_unlabel	Epoch_max
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
CricketX	468	156	300	12	42	0.85	0.75	100
